Sentence,Label
"Except as otherwise described in any applicable Additional Terms, which specifically govern the submission of your User-Generated Content, you hereby grant to 4â H, and you agree to grant to 4â H, the non-exclusive, unrestricted, unconditional, unlimited, worldwide, irrevocable, perpetual, and cost-free right and license to use, copy, record, distribute, reproduce, disclose, sell, re-sell, sublicense through multiple levels , display, publicly perform, transmit, publish, broadcast, translate, make derivative works of, and otherwise use and exploit in any manner whatsoever, all or any portion of your User-Generated Content and derivative works thereof , for any purpose whatsoever in all formats, on or through any means or medium now known or hereafter developed, and with any technology or devices now known or hereafter developed, and to advertise, market, and promote the same.",High Risk
"You acknowledge that the Internet and mobile communications, and digital storage, may be insecure and subject to breaches of security so that your User-Generated Content is submitted at your own risk and you agree to hold 4â H harmless with respect thereto.",Positive Point
"Except as specifically stated herein, you agree that any disputes, actions, and claims relating to your use of the Service and all matters arising out of or related to the Agreement and any applicable Additional Terms collectively â Disputesâ or a â Disputeâ shall be resolved exclusively by final binding arbitration, except that you may assert claims in small claims court in the county of your residence or in Chevy Chase, Maryland, if your claims qualify.",High Risk
"We will not sell, share, or rent this information to others in ways different from what is disclosed in this statement.",High Risk
We may also collect Personal Information about you when you interact with us on social media sites and from other third parties and may also automatically collect information that may contain Personal Information as described in 4ocean's Cookie Policy.,High Risk
"If at any point we decide to use personally identifiable information in a manner different from that stated at the time it was collected, we will notify users by way of an email.",High Risk
"4OCEAN MAKES NO WARRANTIES OR REPRESENTATIONS ABOUT THE ACCURACY OR COMPLETENESS OF THE WEBSITE MATERIAL OR THE CONTENT OF ANY SITES LINKED TO THE WEBSITE AND ASSUMES NO LIABILITY OR RESPONSIBILITY FOR ANY I ERRORS, MISTAKES, OR INACCURACIES OF MATERIAL ON THE WEBSITE, II PERSONAL INJURY EXCEPT AS MAY OTHERWISE BE EXPRESSLY PROVIDED IN SECTION M ABOVE OR PROPERTY DAMAGE, OF ANY NATURE WHATSOEVER, RESULTING FROM YOUR ACCESS TO AND USE OF THE WEBSITE, III ANY UNAUTHORIZED ACCESS TO OR USE OF OUR SERVERS, IV ANY INTERRUPTION OR CESSATION OF TRANSMISSION TO OR FROM OUR WEBSITE, IV ANY BUGS, VIRUSES, TROJAN HORSES, OR THE LIKE WHICH MAY BE TRANSMITTED TO OR THROUGH THE WEBSITE BY ANY THIRD PARTY, AND OR V ANY ERRORS OR OMISSIONS IN ANY WEBSITE MATERIAL.",High Risk
PRIVACY POLICY 4thewords may collect personal information through use of the Service.,High Risk
Information Collected by 500px We only collect personal information that is relevant to the purpose of our website.,High Risk
500px cookies do not collect personal information.,High Risk
"These tools don't collect personal information, and all information collected is used in accordance with this policy.",High Risk
Rest assured that we will not rent or sell your personal information to anyone and that we will share your personal information only as described below 500px Personnel 500px personnel and authorized consultants and or contractors may have access to user information if necessary in the normal course of 500px business.,High Risk
"If we make changes to the Privacy Policy, we will notify you by posting an announcement on the 500px website so you are always aware of what information we collect, how we use it, and under what circumstances if any, it is disclosed.",High Risk
"When you sign up for an account with us, we ask for and collect Personal Information such as your name, a valid email address, phone number, birthdate and address.",High Risk
From time to time we may collect Personal Information from users via surveys.,High Risk
C. INFORMATION 508 SOFTWARE COLLECTS Information 508 Software Collects Through the Website The Website does not collect Personal Information from Your computer when You browse the Website and request pages from 508 Softwareâ s servers.,High Risk
"California Residents If You are a California resident, You can request a notice disclosing the categories of Personal Information that 508 Software may share with third parties for their direct marketing purposes during the preceding calendar year.",Low Risk
",For more information see www.hhs.gov ocr privacy hipaa understanding consumers index.html.,Help with public health ,and safety issues,ï We can share health information about you for certain situations such as ,ï Preventing disease,ï Helping with product recalls,ï Reporting adverse reactions to medications,ï Reporting suspected abuse, neglect, or domestic violence,ï Preventing or reducing a serious threat to anyoneâ s health or safety,Do researchâ We can use or share your information for health research.,Comply with the lawâ Wewill share information about you if state or federal laws require it,,including with the Department of Health and Human Services if it wants to ,see that weâ re complying with federal privacy law.,Address workersâ ,compensation, law ,enforcement, and other ,government requests,ï We can use or share health information about you ,ï For workersâ compensation claims,ï For law enforcement purposes or with a law enforcement official,ï With health oversight agencies for activities authorized by law,ï For special government functions such as military, national security, and ,presidential protective services,Kids Dental Care Responsibilities,ï We are required by law to maintain the privacy and security of your protected health information.,ï We will let you know promptly if a breach occurs that may have compromised the privacy or security ,of your information.,ï We must follow the duties and privacy practices described in this notice and give you a copy of it.,ï We will not use or share your information other than as described here unless you tell us we can in ,writing.",High Risk
"However, we will normally collect personal information from you only i where we need the personal information to perform a contract with you, ii where the processing is in our legitimate interests and not overridden by your interests and rights, or iii where we have your consent to do so.",High Risk
"In some cases, we may also have a legal obligation to collect personal information from you or may otherwise need the personal information to protect your vital interests or those of another person.",High Risk
"We respect your privacy and want you to be familiar with how we collect, use and share your information.",High Risk
"Once you have revoked your consent, we will not collect any more information from you.",High Risk
"Generally, we collect Personal Information when you provide it to us by visiting the Aanicca Sites and Features or using our Services.",High Risk
We do not knowingly collect personal information from individuals under 18.,High Risk
"9.Limitation on Liabilities 9.1.To the fullest extent permitted by law, AAX and its Affiliates including directors, officers, collectively, â Affiliatesâ expressly limit our liabilities in connection with or arising out of the provision of the Platform as follows a we provide the Platform and any products or services we offer on an â as isâ and â as availableâ basis, and your access to or use of our Platform is at your own risk.",High Risk
"The Platform does collect personal information from parents, teachers, and other adults for example, if you Unless you purchase an ad-free subscription, we have advertisements on the Platform, which are served by third-party companies.",High Risk
"This includes licensing information about your interests and activities, and marketing segments created with such data, which we may share with third parties for their marketing purposes.",Low Risk
"We will not be responsible for misuse of your Registration Information by any third party, whether authorized by you or not.",High Risk
Your PHI may be used or disclosed without your consent or authorization if an Institutional Review Board approves a waiver of authorization for disclosure.,High Risk
Sources Used to Collect Personal Information We may collect certain information by automated means.,High Risk
"You can set your browser or mobile operating system to a â do not trackâ or similar setting and, when your browser or mobile operating system passes your request to us, we will not serve you targeted advertising, although we may continue to collect data about your use of the Sites.",High Risk
"We may collect personal information and details associated with your purchases, including payment information.",High Risk
"We may collect personal information, such as email addresses, phone numbers, or mailing addresses, when you request information about our Services, register for our communications, request customer or technical support, apply for a job or otherwise communicate with us.",High Risk
"We and others who use our Services may collect personal information that you submit or make available through our interactive features e.g., making your Academia analytics or mentions citations public, messaging and chat features, commenting functionalities, forums, blogs, and social media pages .",High Risk
"We may collect personal information from individuals when we attend career fairs, conferences, trade shows, and other events.",High Risk
We may collect personal information from individuals and third parties to assess and pursue potential business opportunities.,High Risk
2.2 Information Collected Automatically We may collect personal information automatically when you use our Services Automatic Data Collection.,High Risk
We may share your personal information with third-party advertising partners.,Low Risk
"These third-party advertising partners may set Technologies and other tracking tools on our Services to collect information regarding your activities and your device e.g., your IP address, cookie identifiers, page s visited, location, time of day .",High Risk
Advertising networks Internet service providers Data analytics providers Operating systems and platforms Social networks Service providers The categories of sources from which we collect personal information and our business and commercial purposes for using personal information are set forth above.,High Risk
"11 Childrenâ s Information The Services are not directed to children under 13 or other age as required by local law , and we do not knowingly collect personal information from children.",High Risk
"Dispute Resolution You and Academia.edu agree that any dispute, claim or controversy arising out of or relating to these Terms or the breach, termination, enforcement, interpretation or validity thereof or the use of the Site or Services collectively, â Disputesâ will be settled by binding arbitration, except that each party retains the right i to bring an individual action in small claims court and ii to seek injunctive or other equitable relief in a court of competent jurisdiction to prevent the actual or threatened infringement, misappropriation or violation of a partyâ s copyrights, trademarks, trade secrets, patents or other intellectual property rights the action described in the foregoing clause ii , an â IP Protection Actionâ .",High Risk
"or h if using a feature that permits Users to post user-generated content, materials, or works to the Services or to interact with other users collectively, â User Contentâ , publish any User Content that contains any material that nbsp.",High Risk
CHILDREN We do not knowingly collect personal information from children under age 16 for any purpose.,High Risk
"The Website or Services may contain comment sections, discussion forums, or other interactive areas â Interactive Areasâ , where you may post or upload user-generated content, comments, video, photos, messages, other materials or items collectively, â User Contentâ .",High Risk
"If we offer a financial incentive or price or service difference in exchange for your Personal Information, we will notify you in advance before collecting your Personal Information for this purpose and explain how you can opt in to the financial incentive or price or service difference.",High Risk
It also does not apply to information that you ask us to share with third parties or is collected by Online Tool Providers as further described below .,High Risk
"Collection of Your Personal and Other Information When you register for, or use our Services, we collect Personal Information.",High Risk
"Cookies and Automatic Information Gathering Technologies Every time you use the Services e.g., access a Service webpage, navigate to a specific location within the Service mobile app , we collect Personal Information and non-Personal Information discussed above in Section 2 regarding that use.",High Risk
We do not knowingly collect Personal Information from users under 13 years of age.,High Risk
"INDEMNIFICATION You agree to indemnify, defend and hold harmless Activision and its affiliates, and their respective officers, directors, owners, agents, employees, contractors, information providers and licensors ""Indemnified Party"", and collectively the ""Indemnified Parties"" from and against any claims, liability, losses, costs and expenses including attorneys' fees incurred by an Indemnified Party in connection with i any breach by you of the Agreement, and or ii your posting or uploading any UGC.",High Risk
We do not knowingly collect personal information from children under 13.,High Risk
2 The categories of sources from which we collect personal information.,High Risk
"We shall not collect personal information from minors under the age of twenty 20 or otherwise specified in accordance with local laws or regulations without the knowledge of, or obtaining consent from, the minorsâ parent or guardian .",High Risk
"Sources from which we collect Personal Information We receive Personal Information from you, our websites, your device s , and our external service providers.",High Risk
"Cookies themselves do not contain any personal information, and AddictiveTips does not use cookies to collect personal information.",High Risk
"We will not inspect or disclose the contents of private Communications except with the consent of the sender or the recipient, or in the narrowly-defined situations provided under the Electronic Communications Privacy Act, or as other required by law or by court or governmental order.",High Risk
"Other than for the specific purposes set forth in this Privacy Policy Statement, we will not disclose your personal information to any third parties unless we obtain your prior consent or are legally compelled to do so.",High Risk
Personal information you disclose to us In Short We collect personal information that you provide to us.,High Risk
"We collect personal information that you voluntarily provide to us when registering at the Services expressing an interest in obtaining information about us or our products and services, when participating in activities on the Services or otherwise contacting us.",High Risk
"We take it very seriously and we never disclose, share or sell your data, unless we have your consent or required to do so by law.",High Risk
Childrenâ s Privacy We do not knowingly collect personal information from children under the age of 13. nbsp.,High Risk
"For devices where we are able to see that such a selection has been made, we will not use information collected from that device to deliver targeted advertising.",High Risk
Collection from Minors What Information ADT Collects from Children In General ADT's website s and service s are intended for a general audience and we do not knowingly collect personal information from individuals that are less than 13 years of age.,High Risk
"For such products and situations where ADT does knowingly collect personal information from individuals that are less than 13 years of age, we make clear disclosures in the privacy policy applicable to product or service, we only collect the information with verifiable prior consent from a parent or legal guardian, and we allow the parent to review, delete, or withdraw parental consent by contacting us.",High Risk
Summary Generally we do not target or knowingly collect personal information from people less than 13 years of age.,High Risk
"For certain services we may collect personal information from people less than 13 years of age upon making disclosures, obtaining verifiable parental consent, and allowing the parent to review, delete or withdraw consent.",High Risk
We also work with third-party advertising platforms that separately collect and use User Information to enable our and their customers to deliver targeted advertisements using our advertising technology.,High Risk
"Your Rights California law requires us to disclose the categories of personal information we collect and how we use them, the categories of sources from which we collect personal information, and the third parties with whom we share personal information, which we have explained above.",High Risk
"We will not share, sell, or give away any of our usersâ personal information to third parties, unless one of the following circumstances applies If you participate in contests, sweepstakes, promotions, special offers, or other events or activities in connection with our Services, we may share information with entities that partner with us to provide these offerings We may share information and will attempt to provide you with prior notice, to the extent legally permissible in response to a request for information if we believe disclosure is in accordance with, or required by, any applicable law, regulation, legal process or governmental request We may share information in response to an emergency if we believe itâ s necessary to prevent imminent and serious bodily harm to a person We may share information if we believe your actions are inconsistent with our user agreements or other Adventurerâ s Codex policies, or to protect the rights, property, and safety of ourselves and others We may share information between and among Adventurerâ s Codex, and its current and future parents, affiliates, subsidiaries, and other companies under common control and ownership.",Low Risk
"We will collect personal information by lawful and fair means and, where appropriate, with the knowledge or consent of the individual concerned.",High Risk
"We will only disclose your Personal Data, without your consent or without notice, if required to do so by law or if in good faith we believe that such action is necessary to Conform to the edicts of the law or comply with legal process served on us.",High Risk
"To the extent that we collect Personal Information that is subject to the CCPA, that information, our practices, and your rights are described below.",High Risk
"We will not disclose information about your creditworthiness to our affiliates and will not disclose your personal information, financial information, credit report, or health information to nonaffiliated third parties to market to you, other than as permitted by Vermont law, unless you authorize us to make those disclosures.",High Risk
"During the binding arbitration, the amount of any settlement offer made by either party shall not be disclosed to the arbitrator until after the arbitrator determines the amount, if any, to which the other party is entitled.",High Risk
"The binding arbitration will be governed by the Commercial Arbitration Rules and the Supplementary Procedures for Consumer Related Disputes collectively, â AAA Rulesâ of the American Arbitration Association â AAAâ and will be administered by the AAA.",High Risk
We will not use cookies to collect personally identifiable data about you.,High Risk
"If our policies change with regard to personal information that we previously received parental consent to collect, we will notify the parents of the changed policies.",High Risk
"THE INFORMATION WE COLLECT ABOUT YOU In General.â We may collect personal information that can identify you such as your name and e-mail address, as well as other information that does not identify you such as your zip code.",High Risk
"They do NOT, however, collect personal information.",High Risk
Any third parties to whom we may disclose or who may collect personal information may have their own privacy policies that describe how they use and disclose personal information.,High Risk
"CHILDREN'S PRIVACY Our website is for adults, and we do not knowingly collect personal information from children under the age of 18.",High Risk
"Except as disclosed in this Privacy Policy or as required or permitted by applicable law, we will not disclose your information to third parties without your consent.",High Risk
"Consistent with the ""Information We Collect"" section above, we may collect personal information directly from you, as well as from Travel Suppliers, Accommodation Partners, Business Partners including social media , and our Affiliated Group Companies.",High Risk
"If we make changes, we will notify you by revising ,the date at the top of the policy and, in some cases, we may provide you with additional notice such as ,adding a statement to our We encourage you to review ,the Privacy Policy whenever you access the Sites to stay informed about our information practices and ,the ways you can help protect your privacy.,COLLECTION OF INFORMATION,Information You Provide to Us,We collect information you provide directly to us.",High Risk
"We assume no liability for any access to information that is ,executed with the password provided to you.,You are solely responsible for any and all use of Your account.Without limiting any rights which AHLEF,may otherwise have, AHLEFreserves the right to take any and all action, as it deems necessary or ,reasonable, to ensure the security of the Sites and Your Account, including, without limitation, ,terminating Your Account, changing Your Password, or requesting additional information to authorize ,transactions on Your Account.Notwithstanding the above, AHLEFmay rely on the authority of anyone ,accessing Your Account or using Your Password and in no event and under no circumstances shall AHLEF,be held liable to You for any liabilities or damages resulting from or arising out of i any action or ,inaction of AHLEFunder this provision, ii any compromiseof the confidentiality of Your Account or ,Password, and iii any unauthorized access to Your Account or use of Your Password.You may not use ,anyone elseâ s Account at any time without the permission of the Account holder.",High Risk
"Any of ,these various third parties may be authorized to use your Personal Information in accordance with our ,contractual arrangements with such third parties and in accordance with their own privacy policies, over ,which we have no control, and you agree that we are not responsible or liable for anyof their actions or ,omission.",High Risk
"Under certain conditions, more fully described on the Privacy Shield website, ,you may be entitled to invoke binding arbitration when other dispute resolution procedures have been ,exhausted.If there is any conflict between the terms in this privacy policy and the Privacy Shield ,Principles, the Privacy Shield Principles shall govern.,In compliance with the Privacy Shield Principles, Aimtell commits to resolve complaints about our ,collection or use of your personal information.",High Risk
We collect personal information about you when you use the Airbnb Platform.,High Risk
"When you use the Airbnb Platform and Payment Services, we automatically collect personal information.",High Risk
"We collect personal information from other sources, such as .",High Risk
"This Privacy Policy applies to information collected from you by us via the Platform and other places where, or means by which, we may collect personal information.",High Risk
"We may collect personal information in connection with your use of the Platform or with your use or purchase of the Companyâ s products and services, which may include personal information provided in connection with your use of the Platform.",High Risk
We may collect personal information even when you are not using the Platform.,High Risk
and b collect personal information directly through the use of cookies and other tracking technologies.,High Risk
"Disclosure of Your Personal Information Except as provided for in this Privacy Policy, we will not sell, rent, lease, commercially exploit or otherwise disclose your personal information or data to third parties unless a we are required to do so by law or to cooperate with legal investigations.",High Risk
"We collect personal information from you such as email address, phone number, or mailing address when you request information about our Services, request customer or technical support, or otherwise communicate with us.",High Risk
"The Services are not directed to children under 17 or other age as required by local law , and we do not knowingly collect personal information from children.",High Risk
"However, please remember that the manner in which Social Networking Services use, store and disclose your information is governed solely by the policies of such third parties, and the Company shall have no liability or responsibility for the privacy practices or other actions of any third party site or service that may be enabled within the Service.",High Risk
"Personal Information Collected We may collect personal information about you in a variety of ways, including directly from you as well as automatically through your use of Our Sites or Services.",High Risk
"If you are a California resident, we will not authorize these third parties to use the personal information we provide for their direct marketing purposes as such term is defined in the California â Shine the Lightâ Law, California Civil Code Â Â 1798.83 , unless we have explicitly given you the option to opt-in or opt-out of such disclosure.",High Risk
"We are not responsible for any lost, stolen, or compromised passwords or for any activity on your account via unauthorized password activity.",High Risk
"For example, we may use analytics tools that collect information about the use of our websites and user traffic.",High Risk
"This Privacy Policy does not apply to, and we are not responsible for, the practices of other third parties that collect your personal information.",High Risk
"Cookies and Ads Policy We collect personal information about users over time and across different websites when you use this website, app or service â Site or Appâ through cookies, tags, pixels, beacons, and similar tracking technologies â Cookiesâ .",High Risk
"We are not responsible for the completeness, effectiveness, or accuracy of any third party opt-out options or programs.",Low Risk
"You agree to indemnify, defend and hold harmless us from and against any and all Claims which may arise out of or are in any way connected with your access, visitation and or use of the Service, your Content, unauthorized use of Content or Products obtained on or through the Service, breach or alleged breach of the Agreement, or from any of your acts or omissions in connection with the Service.",High Risk
"Collection and Use of Information We may collect personal information from you when you do any of the following on our website Sign up to receive updates from us via email or social media channels Use a mobile device or web browser to access our content Contact us via email, social media, or on any similar technologies When you mention us on social media We may collect, hold, use, and disclose information for the following purposes, and personal information will not be further processed in a manner that is incompatible with these purposes We may collect, hold, use, and disclose information for the following purposes, and personal information will not be further processed in a manner that is incompatible with these purposes to enable you to customise or personalise your experience of our website to contact and communicate with you for advertising and marketing, including to send you promotional information about our products and services and information about third parties that we consider may be of interest to you for security and fraud prevention, and to ensure that our sites and apps are safe, secure, and used in line with our terms of use Please be aware that we may combine information we collect about you with general information or research data we receive from other trusted sources.",High Risk
"Childrenâ s Privacy We do not aim any of our products or services directly at children under the age of 13, and we do not knowingly collect personal information about children under 13. International Transfers of Personal Information The personal information we collect is stored and or processed where we or our partners, affiliates, and third-party providers maintain facilities.",High Risk
Both we and others such as our service providers or advertising networks may collect personal information about our visitorsâ online activities over time and across third-party websites.,High Risk
Back to TopChildren's PrivacyOur Sites are not directed to children under the age of thirteen and we do not knowingly collect personal information from children under the age of thirteen on our Sites.,High Risk
"Based on the information contained in cookies, we can facilitate your The data collected by us will not be shared with third parties under any circumstances nor will a link to personal data be created without your consent.",High Risk
"Section 9 of this Privacy Policy separately covers and applies to personal information submitted by our Algolia may directly collect personal information you provide us in the following ways When you complete forms on our Websites, such as registering an account, subscribing to a Service, or posting a comment.",High Risk
"Third-Parties and Data Supplementation To the extent allowed by law, Algolia may collect personal information about you from other third-party sources.",High Risk
Does Algolia collect personal information automatically?,High Risk
"You can do this by using certain web browser and opt-out options discussed in this Privacy Policy to limit the personal information you provide to us or our third-party partners please see Section 4 â Does Algolia collect personal information automatically?â , Section 6 â When and how does Algolia share my personal information with others?â and Section 10 ""Communication Preferences and Subscriptionsâ , logging into the appropriate Website or Service and contacting us through the Support Center, following the un through https goto.algolia.com preferences, by accessing the email preferences in your account settings page in the Services user interface dashboard, or sending us an email at the address noted in the Contact Information section above.",High Risk
"Choice Our Services collect personal information for our As a data processor of this personal information on our If you are a data subject for whom a Concerns with personal information hosted or transmitted at the direction of our We will refer your requests to the appropriate Sub-processor Accountability Algolia is responsible for the processing of personal information it receives, and subsequently transfers to a third-party acting as an agent on its behalf in accordance with our subscription agreements.",High Risk
We do not knowingly collect personal information from children under 13 years old.,High Risk
"We respect your privacy and are committed to protecting it by clearly communicating what information we collect and how we use it, and providing you options for managing our use of your personal information.",High Risk
We collect Personal Information for the business and commercial purposes described in the section â What do we use the data for?â of this Privacy Policy.,High Risk
"We collect Personal Information directly from you when you interact with our Applications and Services, automatically when you access or use our Applications and Services or transact business with us, and from third-party sources as described in the section â What personal information do we collect from you?â of this Privacy Policy.",High Risk
"Children Under the Age of 16 Our Applications and Services are not intended for children under 16 years of age, and we do not knowingly collect Personal Information from children under 16.",High Risk
"Consistent with applicable law, Alight Creative does not knowingly collect personal information from minors without parental consent.",High Risk
We will not disclose any personally identifiable information to any third parties in connection with the conduct of any polls or surveys.,High Risk
"For example, we may share information such as your gender, height, weight, information about medications you have provided, and data from your connected devices, but we will not share your name or other information that could identify you.",Low Risk
More information regarding the sources from which we collect personal information can be found above in the section titled â The Information We Collect About Youâ .,High Risk
